Player,Nation,Pos,Age,playing_time_MP,playing_time_Starts,playing_time_Min,playing_time_90s,performance_Gls,performance_Ast,performance_G+A,performance_G-PK,performance_PK,performance_PKatt,performance_CrdY,performance_CrdR,expected_xG,expected_npxG,expected_xAG,expected_npxG+xAG,progression_PrgC,progression_PrgP,progression_PrgR,per_90_minutes_Gls,per_90_minutes_Ast,per_90_minutes_G+A,per_90_minutes_G-PK,per_90_minutes_G+A-PK,per_90_minutes_xG,per_90_minutes_xAG,per_90_minutes_xG+xAG,per_90_minutes_npxG,per_90_minutes_npxG+xAG,Matches,Team,Season,MP
Mark Travers,ie IRL,GK,25-363,5.0,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Enes Ünal,tr TUR,"FW,MF",28-006,17.0,2,345.0,3.8,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,0.4,3.1,4.0,12.0,22.0,0.52,0.26,0.78,0.52,0.78,0.72,0.1,0.82,0.72,0.82,Matches,Bournemouth,2024,
Neto,br BRA,GK,35-301,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Luis Sinisterra,co COL,"FW,MF",25-333,12.0,1,236.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.4,2.6,19.0,6.0,38.0,0.38,0.38,0.76,0.38,0.76,0.46,0.54,1.0,0.46,1.0,Matches,Bournemouth,2024,
Philip Billing,dk DEN,MF,28-339,10.0,1,184.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,1.1,1.7,3.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.28,0.54,0.82,0.28,0.82,Matches,Bournemouth,2024,
Max Aarons,eng ENG,DF,25-132,3.0,1,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Daniel Jebbison,eng ENG,FW,21-276,14.0,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.2,0.9,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.73,0.21,0.94,0.73,0.94,Matches,Bournemouth,2024,
Ben Winterburn,eng ENG,"FW,MF",20-254,3.0,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Julio Soler,ar ARG,FW,20-089,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Remy Rees-Dottin,eng ENG,FW,19-071,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Zain Silcott-Duberry,ms MSR,FW,19-311,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Bournemouth,2024,
Daniel Adu-Adjei,eng ENG,FW,19-329,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Matai Akinmboni,us USA,DF,18-211,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Jaidon Anthony,eng ENG,"FW,MF",25-166,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Will Dennis,eng ENG,GK,24-310,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Archie Harris,eng ENG,DF,20-140,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Hamed Junior Traorè,ci CIV,"FW,MF",25-089,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Callan Mckenna,sct SCO,GK,18-145,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Dominic Sadi,eng ENG,MF,21-256,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Maxwell Wellings,eng ENG,DF,20-103,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Bournemouth,2024,
Nathan Collins,ie IRL,DF,24-016,,36,3240.0,36.0,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.5,2.5,1.8,4.3,30.0,121.0,18.0,0.06,0.08,0.14,0.06,0.14,0.07,0.05,0.12,0.07,0.12,Matches,Brentford,2024,36.0
Bryan Mbeumo,cm CMR,FW,25-282,,36,3234.0,35.9,18.0,7.0,25.0,13.0,5.0,5.0,3.0,0.0,11.0,7.1,8.1,15.2,120.0,133.0,331.0,0.5,0.19,0.7,0.36,0.56,0.31,0.23,0.53,0.2,0.42,Matches,Brentford,2024,36.0
Mark Flekken,nl NED,GK,31-337,,35,3095.0,34.4,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.02,0.02,0.0,0.02,Matches,Brentford,2024,35.0
Keane Lewis-Potter,eng ENG,"DF,FW",24-083,,34,2929.0,32.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.6,2.6,3.2,5.7,92.0,91.0,147.0,0.03,0.09,0.12,0.03,0.12,0.08,0.1,0.18,0.08,0.18,Matches,Brentford,2024,36.0
Mikkel Damsgaard,dk DEN,"MF,FW",24-317,,32,2742.0,30.5,2.0,10.0,12.0,2.0,0.0,0.0,2.0,0.0,2.7,2.7,8.0,10.7,66.0,220.0,126.0,0.07,0.33,0.39,0.07,0.39,0.09,0.26,0.35,0.09,0.35,Matches,Brentford,2024,36.0
Yoane Wissa,cd COD,FW,28-255,,32,2739.0,30.4,18.0,3.0,21.0,18.0,0.0,0.0,3.0,0.0,17.0,17.0,1.9,18.9,54.0,61.0,139.0,0.59,0.1,0.69,0.59,0.69,0.56,0.06,0.62,0.56,0.62,Matches,Brentford,2024,33.0
Christian Nørgaard,dk DEN,MF,31-067,,32,2639.0,29.3,5.0,3.0,8.0,5.0,0.0,0.0,7.0,1.0,3.9,3.9,1.0,5.0,14.0,142.0,39.0,0.17,0.1,0.27,0.17,0.27,0.13,0.03,0.17,0.13,0.17,Matches,Brentford,2024,32.0
Sepp van den Berg,nl NED,DF,23-147,,27,2406.0,26.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.8,1.8,0.5,2.4,10.0,74.0,27.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,Matches,Brentford,2024,29.0
Vitaly Janelt,de GER,MF,27-006,,27,2254.0,25.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,2.2,3.0,17.0,80.0,38.0,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,Matches,Brentford,2024,32.0
Kevin Schade,de GER,FW,23-170,,24,2140.0,23.8,11.0,2.0,13.0,11.0,0.0,0.0,3.0,0.0,8.0,8.0,3.6,11.6,57.0,33.0,154.0,0.46,0.08,0.55,0.46,0.55,0.34,0.15,0.49,0.34,0.49,Matches,Brentford,2024,36.0
Ethan Pinnock,jm JAM,DF,31-352,,21,1913.0,21.3,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,1.1,1.1,1.2,2.3,3.0,41.0,9.0,0.09,0.0,0.09,0.09,0.09,0.05,0.05,0.11,0.05,0.11,Matches,Brentford,2024,22.0
Kristoffer Ajer,no NOR,DF,27-029,,17,1405.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,1.2,2.1,27.0,54.0,42.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.13,0.05,0.13,Matches,Brentford,2024,22.0
Yehor Yarmoliuk,ua UKR,MF,21-076,,13,1286.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.6,0.6,0.9,1.5,15.0,57.0,46.0,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,Matches,Brentford,2024,29.0
Mads Roerslev,dk DEN,DF,25-326,,11,1101.0,12.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,3.0,3.2,17.0,51.0,54.0,0.0,0.16,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,Matches,Brentford,2024,19.0
Mathias Jensen,dk DEN,MF,29-135,,8,835.0,9.3,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.6,1.8,6.0,56.0,26.0,0.0,0.22,0.22,0.0,0.22,0.03,0.17,0.2,0.03,0.2,Matches,Brentford,2024,22.0
Michael Kayode,it ITA,DF,20-310,,4,381.0,4.2,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,1.1,1.4,10.0,9.0,22.0,0.0,0.24,0.24,0.0,0.24,0.05,0.27,0.32,0.05,0.32,Matches,Brentford,2024,10.0
Fabio Carvalho,pt POR,"FW,MF",22-259,,3,455.0,5.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,2.5,2.5,0.7,3.2,9.0,17.0,23.0,0.4,0.2,0.59,0.4,0.59,0.49,0.13,0.62,0.49,0.62,Matches,Brentford,2024,19.0
Ben Mee,eng ENG,DF,35-237,,2,183.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,7.0
Thiago,br BRA,FW,23-324,,1,148.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches,Brentford,2024,6.0
Hákon Rafn Valdimarsson,is ISL,GK,23-215,,1,145.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,2.0
Edmond-Paris Maghoma,eng ENG,"MF,FW",24-008,,0,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,4.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.09,0.08,0.17,0.09,0.17,Matches,Brentford,2024,8.0
Rico Henry,eng ENG,DF,27-312,,0,83.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,4.0
Yunus Emre Konak,tr TUR,"FW,MF",19-126,,0,42.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33,0.33,Matches,Brentford,2024,10.0
Kim Jisoo,kr KOR,DF,20-143,,0,30.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,3.0
Frank Onyeka,ng NGA,MF,27-135,,0,25.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,2.0
Gustavo Nunes,br BRA,"FW,MF",19-177,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,3.0
Jayden Meghoma,eng ENG,DF,18-322,,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,1.0
Ryan Trevitt,eng ENG,MF,22-065,,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brentford,2024,1.0
Benjamin Arthur,eng ENG,DF,19-219,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Julian Eyestone,us USA,GK,19-025,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Benjamin Fredrick,ng NGA,DF,19-353,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Iwan Morgan,wls WAL,FW,19-107,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Myles Peart-Harris,eng ENG,MF,22-240,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Tony Yogane,eng ENG,MF,19-234,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brentford,2024,0.0
Bart Verbruggen,nl NED,GK,22-271,34.0,34,3060.0,34.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
Jan Paul van Hecke,nl NED,DF,24-342,32.0,31,2778.0,30.9,1.0,1.0,2.0,1.0,0.0,0.0,8.0,1.0,1.3,1.3,1.5,2.7,53.0,217.0,5.0,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09,Matches,Brighton and Hove Albion,2024,
Carlos Baleba,cm CMR,MF,21-133,32.0,29,2481.0,27.6,3.0,1.0,4.0,3.0,0.0,0.0,8.0,1.0,3.0,3.0,1.3,4.3,40.0,114.0,28.0,0.11,0.04,0.15,0.11,0.15,0.11,0.05,0.15,0.11,0.15,Matches,Brighton and Hove Albion,2024,
Kaoru Mitoma,jp JPN,"FW,MF",27-361,34.0,28,2532.0,28.1,9.0,3.0,12.0,9.0,0.0,0.0,1.0,0.0,8.8,8.8,4.4,13.2,139.0,82.0,279.0,0.32,0.11,0.43,0.32,0.43,0.31,0.16,0.47,0.31,0.47,Matches,Brighton and Hove Albion,2024,
Pervis Estupiñán,ec ECU,DF,27-115,29.0,25,2312.0,25.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,1.1,1.1,2.1,3.1,57.0,121.0,109.0,0.04,0.04,0.08,0.04,0.08,0.04,0.08,0.12,0.04,0.12,Matches,Brighton and Hove Albion,2024,
Lewis Dunk,eng ENG,DF,33-176,25.0,23,2083.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.8,0.8,0.5,1.3,20.0,142.0,3.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches,Brighton and Hove Albion,2024,
Danny Welbeck,eng ENG,FW,34-171,29.0,23,2032.0,22.6,10.0,4.0,14.0,9.0,1.0,1.0,5.0,0.0,8.9,8.1,1.3,9.4,20.0,45.0,88.0,0.44,0.18,0.62,0.4,0.58,0.39,0.06,0.45,0.36,0.42,Matches,Brighton and Hove Albion,2024,
João Pedro,br BRA,"FW,MF",23-232,27.0,23,1948.0,21.6,10.0,6.0,16.0,5.0,5.0,5.0,4.0,1.0,8.9,5.0,5.0,10.0,66.0,78.0,128.0,0.46,0.28,0.74,0.23,0.51,0.41,0.23,0.64,0.23,0.46,Matches,Brighton and Hove Albion,2024,
Jack Hinshelwood,eng ENG,"DF,MF",20-035,24.0,21,1745.0,19.4,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.5,1.5,1.3,2.8,18.0,63.0,47.0,0.1,0.1,0.21,0.1,0.21,0.08,0.07,0.14,0.08,0.14,Matches,Brighton and Hove Albion,2024,
Yasin Ayari,se SWE,MF,21-222,32.0,20,1848.0,20.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,2.3,2.3,2.2,4.5,30.0,72.0,60.0,0.05,0.05,0.1,0.05,0.1,0.11,0.11,0.22,0.11,0.22,Matches,Brighton and Hove Albion,2024,
Joël Veltman,nl NED,DF,33-121,20.0,19,1665.0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.5,0.9,30.0,80.0,32.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Brighton and Hove Albion,2024,
Georginio Rutter,fr FRA,"MF,FW",23-026,28.0,19,1656.0,18.4,5.0,3.0,8.0,5.0,0.0,0.0,2.0,0.0,4.6,4.6,2.5,7.1,42.0,67.0,79.0,0.27,0.16,0.43,0.27,0.43,0.25,0.14,0.39,0.25,0.39,Matches,Brighton and Hove Albion,2024,
Yankuba Minteh,gm GAM,"FW,MF",20-298,30.0,18,1666.0,18.5,6.0,4.0,10.0,6.0,0.0,0.0,6.0,0.0,4.0,4.0,4.9,8.9,77.0,42.0,174.0,0.32,0.22,0.54,0.32,0.54,0.21,0.26,0.48,0.21,0.48,Matches,Brighton and Hove Albion,2024,
Matt O'Riley,dk DEN,MF,24-176,19.0,11,905.0,10.1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0,1.7,3.7,20.0,36.0,49.0,0.1,0.1,0.2,0.1,0.2,0.2,0.17,0.37,0.2,0.37,Matches,Brighton and Hove Albion,2024,
Simon Adingra,ci CIV,"FW,MF",23-135,27.0,10,988.0,11.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.2,2.2,2.3,4.6,41.0,15.0,120.0,0.18,0.18,0.36,0.18,0.36,0.2,0.21,0.42,0.2,0.42,Matches,Brighton and Hove Albion,2024,
Tariq Lamptey,gh GHA,DF,24-228,15.0,10,860.0,9.6,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.4,0.4,0.8,1.2,32.0,14.0,45.0,0.21,0.21,0.42,0.21,0.42,0.04,0.08,0.12,0.04,0.12,Matches,Brighton and Hove Albion,2024,
Igor,br BRA,DF,27-098,12.0,9,903.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.2,0.2,9.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Brighton and Hove Albion,2024,
Adam Webster,eng ENG,DF,30-132,12.0,9,707.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,7.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.0,0.07,Matches,Brighton and Hove Albion,2024,
Mats Wieffer,nl NED,"MF,DF",25-181,23.0,8,835.0,9.3,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,0.7,0.7,1.5,2.2,18.0,55.0,18.0,0.11,0.32,0.43,0.11,0.43,0.08,0.16,0.24,0.08,0.24,Matches,Brighton and Hove Albion,2024,
Brajan Gruda,de GER,"MF,FW",20-350,19.0,6,540.0,6.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,2.5,17.0,17.0,48.0,0.17,0.5,0.67,0.17,0.67,0.16,0.25,0.42,0.16,0.42,Matches,Brighton and Hove Albion,2024,
Ferdi Kadioglu,tr TUR,"DF,MF",25-221,6.0,5,385.0,4.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,1.0,15.0,27.0,0.23,0.0,0.23,0.23,0.23,0.1,0.04,0.14,0.1,0.14,Matches,Brighton and Hove Albion,2024,
Diego Gómez,py PAR,MF,22-050,14.0,4,453.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.5,1.2,6.0,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,0.24,0.14,0.24,Matches,Brighton and Hove Albion,2024,
James Milner,eng ENG,MF,39-132,3.0,3,169.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.2,0.4,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.09,0.12,0.21,0.09,0.21,Matches,Brighton and Hove Albion,2024,
Julio Enciso,py PAR,"MF,FW",21-113,12.0,2,294.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,1.2,11.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.31,0.07,0.38,0.31,0.38,Matches,Brighton and Hove Albion,2024,
Evan Ferguson,ie IRL,FW,20-209,13.0,2,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,1.0,2.0,1.0,9.0,0.37,0.0,0.37,0.37,0.37,0.2,0.15,0.35,0.2,0.35,Matches,Brighton and Hove Albion,2024,
Jason Steele,eng ENG,GK,34-271,2.0,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
Solly March,eng ENG,"FW,MF",30-300,8.0,1,168.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.3,0.4,5.0,2.0,20.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.19,0.05,0.19,Matches,Brighton and Hove Albion,2024,
Billy Gilmour,sct SCO,MF,23-339,2.0,1,98.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07,Matches,Brighton and Hove Albion,2024,
Eiran Cashin,ie IRL,DF,23-188,2.0,0,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
Jakub Moder,pl POL,MF,26-039,4.0,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.45,0.0,1.45,Matches,Brighton and Hove Albion,2024,
Jeremy Sarmiento,ec ECU,MF,22-334,1.0,0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Brighton and Hove Albion,2024,
Valentín Barco,ar ARG,MF,20-297,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Killian Cahill,ie IRL,GK,21-194,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Harry Howell,eng ENG,FW,16-229,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Joe Knight,eng ENG,MF,19-237,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Ruairi Mcconville,nir NIR,DF,20-015,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Mark O'Mahony,ie IRL,FW,20-122,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Carl Rushworth,eng ENG,GK,23-318,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Imari Samuels,eng ENG,DF,22-100,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Freddie Simmonds,eng ENG,DF,17-068,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Jacob Slater,eng ENG,DF,20-223,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Charlie Tasker,eng ENG,DF,19-081,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Brighton and Hove Albion,2024,
Moisés Caicedo,ec ECU,"MF,DF",23-195,36.0,36,3171.0,35.2,1.0,2.0,3.0,1.0,0.0,0.0,10.0,0.0,0.8,0.8,3.0,3.8,40.0,204.0,35.0,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches,Chelsea,2024,
Cole Palmer,eng ENG,MF,23-010,35.0,34,3011.0,33.5,15.0,8.0,23.0,11.0,4.0,5.0,6.0,0.0,17.2,13.2,10.0,23.3,111.0,203.0,175.0,0.45,0.24,0.69,0.33,0.57,0.51,0.3,0.81,0.4,0.7,Matches,Chelsea,2024,
Levi Colwill,eng ENG,DF,22-079,33.0,33,2969.0,33.0,1.0,1.0,2.0,1.0,0.0,0.0,9.0,0.0,1.3,1.3,1.1,2.5,14.0,126.0,11.0,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.07,0.04,0.07,Matches,Chelsea,2024,
Marc Cucurella,es ESP,DF,26-298,34.0,31,2808.0,31.2,4.0,1.0,5.0,4.0,0.0,0.0,10.0,1.0,2.6,2.6,2.1,4.7,35.0,113.0,113.0,0.13,0.03,0.16,0.13,0.16,0.08,0.07,0.15,0.08,0.15,Matches,Chelsea,2024,
Enzo Fernández,ar ARG,MF,24-119,34.0,30,2767.0,30.7,6.0,7.0,13.0,6.0,0.0,0.0,8.0,0.0,6.1,6.1,6.7,12.8,59.0,207.0,122.0,0.2,0.23,0.42,0.2,0.42,0.2,0.22,0.42,0.2,0.42,Matches,Chelsea,2024,
Robert Sánchez,es ESP,GK,27-179,30.0,30,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Chelsea,2024,
Nicolas Jackson,sn SEN,FW,23-330,30.0,28,2220.0,24.7,10.0,5.0,15.0,10.0,0.0,0.0,7.0,1.0,12.3,12.3,4.3,16.6,47.0,38.0,129.0,0.41,0.2,0.61,0.41,0.61,0.5,0.17,0.67,0.5,0.67,Matches,Chelsea,2024,
