Player,Nation,Pos,Age,90s,Att,pass_types_Live,pass_types_Dead,pass_types_FK,pass_types_TB,pass_types_Sw,pass_types_Crs,pass_types_TI,pass_types_CK,corner_kicks_In,corner_kicks_Out,corner_kicks_Str,outcomes_Cmp,outcomes_Off,outcomes_Blocks,Matches,Team,Season
Eddie Nketiah,eng ENG,"FW,MF",25-351,10.3,226,217,9,0,2,0,5,1,0,0,0,0,167,0,12,Matches,Crystal Palace,2024
Nathaniel Clyne,eng ENG,"DF,MF",34-041,5.4,225,207,16,1,1,1,7,13,0,0,0,0,171,2,8,Matches,Crystal Palace,2024
Cheick Doucouré,ml MLI,MF,25-128,5.0,204,201,3,3,0,0,1,0,0,0,0,0,174,0,4,Matches,Crystal Palace,2024
Justin Devenny,nir NIR,MF,21-217,4.8,177,157,18,6,1,1,17,0,9,4,4,0,127,2,2,Matches,Crystal Palace,2024
Odsonne Édouard,fr FRA,"MF,FW",27-120,1.3,28,28,0,0,0,0,1,0,0,0,0,0,17,0,2,Matches,Crystal Palace,2024
Joachim Andersen,dk DEN,DF,28-350,1.0,83,81,2,1,0,0,1,0,1,0,0,0,61,0,0,Matches,Crystal Palace,2024
Chadi Riad,ma MAR,DF,21-333,1.0,82,82,0,0,0,1,0,0,0,0,0,0,70,0,2,Matches,Crystal Palace,2024
Ben Chilwell,eng ENG,DF,28-146,1.9,89,75,14,1,1,0,4,13,0,0,0,0,62,0,3,Matches,Crystal Palace,2024
Jeffrey Schlupp,gh GHA,"MF,DF",32-144,1.1,50,47,3,0,0,0,4,3,0,0,0,0,39,0,0,Matches,Crystal Palace,2024
Romain Esse,eng ENG,MF,20-003,0.5,22,22,0,0,0,0,0,0,0,0,0,0,18,0,1,Matches,Crystal Palace,2024
Matheus França,br BRA,"FW,MF",21-045,0.3,8,6,1,0,0,0,1,0,0,0,0,0,4,1,0,Matches,Crystal Palace,2024
Jordan Ayew,gh GHA,"FW,MF",33-247,0.2,10,8,2,0,0,1,1,0,1,1,0,0,8,0,0,Matches,Crystal Palace,2024
Caleb Kporha,eng ENG,DF,18-305,0.1,7,6,1,0,0,0,2,1,0,0,0,0,5,0,0,Matches,Crystal Palace,2024
Asher Agbinone,eng ENG,MF,19-230,0.1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0,Matches,Crystal Palace,2024
Joel Ward,eng ENG,DF,35-199,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Crystal Palace,2024
Jordan Pickford,eng ENG,GK,31-070,36.0,1505,1094,402,179,0,6,0,0,0,0,0,0,1001,9,0,Matches,Everton,2024
James Tarkowski,eng ENG,DF,32-178,32.5,1290,1204,77,46,2,13,1,3,0,0,0,0,1045,9,12,Matches,Everton,2024
Vitaliy Mykolenko,ua UKR,DF,25-352,32.2,1243,991,249,13,2,3,93,236,0,0,0,0,925,3,22,Matches,Everton,2024
Idrissa Gana Gueye,sn SEN,MF,35-232,32.0,1323,1290,26,7,2,7,7,6,0,0,0,0,1143,7,22,Matches,Everton,2024
Abdoulaye Doucouré,ml MLI,MF,32-135,27.6,870,851,14,5,0,2,23,0,0,0,0,0,694,5,27,Matches,Everton,2024
Jarrad Branthwaite,eng ENG,DF,22-323,27.1,1139,1083,50,37,1,17,5,3,0,0,0,0,936,6,6,Matches,Everton,2024
Iliman Ndiaye,sn SEN,FW,25-071,25.4,676,649,25,5,2,2,38,5,10,4,0,2,547,2,21,Matches,Everton,2024
Jack Harrison,eng ENG,FW,28-177,21.8,629,561,61,22,4,2,126,8,30,26,0,1,395,7,33,Matches,Everton,2024
Dominic Calvert-Lewin,eng ENG,FW,28-061,17.7,284,282,2,0,0,1,6,1,0,0,0,0,179,0,12,Matches,Everton,2024
Ashley Young,eng ENG,"DF,FW",39-311,19.0,914,703,205,21,3,4,70,167,15,8,6,0,642,6,19,Matches,Everton,2024
James Garner,eng ENG,"MF,DF",24-064,15.7,702,595,102,16,2,2,53,39,21,14,4,2,525,5,22,Matches,Everton,2024
Jake O'Brien,ie IRL,DF,24-001,15.5,650,541,107,3,0,1,18,100,0,0,0,0,509,2,12,Matches,Everton,2024
Jesper Lindstrøm,dk DEN,FW,25-076,13.8,428,383,42,11,1,0,71,6,25,12,8,2,297,3,18,Matches,Everton,2024
Dwight McNeil,eng ENG,"MF,FW",25-175,14.4,584,487,93,29,7,5,98,5,42,29,5,4,431,4,16,Matches,Everton,2024
Orel Mangala,be BEL,MF,27-059,14.0,490,485,4,3,0,1,6,0,0,0,0,0,437,1,10,Matches,Everton,2024
Beto,gw GNB,FW,27-105,15.1,234,230,4,0,1,1,4,0,1,0,0,0,132,0,12,Matches,Everton,2024
Michael Keane,eng ENG,DF,32-125,10.5,346,335,7,3,0,12,1,0,0,0,0,0,285,4,6,Matches,Everton,2024
Carlos Alcaraz,ar ARG,"FW,MF",22-167,7.4,251,239,11,2,1,2,10,5,3,2,1,0,200,1,10,Matches,Everton,2024
Tim Iroegbunam,eng ENG,MF,21-320,6.4,158,156,0,0,0,0,1,0,0,0,0,0,115,2,5,Matches,Everton,2024
Armando Broja,al ALB,FW,23-248,3.7,73,72,0,0,0,0,1,0,0,0,0,0,53,1,1,Matches,Everton,2024
Nathan Patterson,sct SCO,DF,23-212,3.9,176,134,42,0,1,0,14,42,0,0,0,0,130,0,0,Matches,Everton,2024
Séamus Coleman,ie IRL,DF,36-217,2.2,82,63,18,0,0,0,3,18,0,0,0,0,60,1,1,Matches,Everton,2024
Roman Dixon,eng ENG,DF,20-141,1.0,19,16,3,0,0,0,0,3,0,0,0,0,11,0,0,Matches,Everton,2024
Harrison Armstrong,eng ENG,MF,18-117,0.5,15,13,1,0,0,0,1,0,0,0,0,0,7,1,0,Matches,Everton,2024
Youssef Chermiti,pt POR,"FW,MF",20-357,0.5,11,11,0,0,0,0,1,0,0,0,0,0,6,0,0,Matches,Everton,2024
Mason Holgate,eng ENG,"FW,DF",28-206,0.1,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0,Matches,Everton,2024
Bernd Leno,de GER,GK,33-073,36.0,1338,1110,227,67,0,0,0,0,0,0,0,0,1093,1,1,Matches,Fulham,2024
Alex Iwobi,ng NGA,"FW,MF",29-013,32.1,1482,1439,37,7,15,21,124,22,2,0,1,0,1109,6,51,Matches,Fulham,2024
Antonee Robinson,us USA,DF,27-281,33.2,1987,1705,276,15,1,4,165,261,0,0,0,0,1523,6,47,Matches,Fulham,2024
Calvin Bassey,ng NGA,DF,25-136,33.2,2115,1988,125,47,0,10,8,8,0,0,0,0,1899,2,17,Matches,Fulham,2024
Raúl Jiménez,mx MEX,FW,34-011,25.7,617,609,7,3,3,5,23,4,0,0,0,0,440,1,28,Matches,Fulham,2024
Joachim Andersen,dk DEN,DF,28-350,26.7,1870,1765,98,79,0,34,11,8,0,0,0,0,1548,7,7,Matches,Fulham,2024
Saša Lukić,rs SRB,MF,28-276,24.1,1171,1089,81,35,1,3,55,1,39,11,22,0,1027,1,22,Matches,Fulham,2024
Sander Berge,no NOR,MF,27-091,24.2,1160,1120,40,39,3,7,3,1,0,0,0,0,1060,0,8,Matches,Fulham,2024
Andreas Pereira,br BRA,MF,29-135,21.7,960,753,203,50,4,8,171,9,109,53,47,0,662,4,26,Matches,Fulham,2024
Emile Smith Rowe,eng ENG,MF,24-292,21.6,979,947,30,5,2,2,15,2,1,0,0,0,881,2,18,Matches,Fulham,2024
Kenny Tete,nl NED,DF,29-219,17.7,882,735,143,6,1,2,33,137,0,0,0,0,715,4,23,Matches,Fulham,2024
Timothy Castagne,be BEL,DF,29-162,18.3,953,813,140,10,0,1,37,130,0,0,0,0,780,0,26,Matches,Fulham,2024
Adama Traoré,es ESP,"FW,MF",29-111,18.0,545,543,0,0,5,2,94,0,0,0,0,0,392,2,18,Matches,Fulham,2024
Issa Diop,fr FRA,DF,28-127,14.9,758,733,25,21,0,1,1,2,0,0,0,0,663,0,2,Matches,Fulham,2024
Harry Wilson,wls WAL,"FW,MF",28-055,12.0,418,366,51,16,1,5,41,4,27,14,6,1,306,1,5,Matches,Fulham,2024
Rodrigo Muniz,br BRA,FW,24-012,10.7,142,135,6,1,3,2,1,0,0,0,0,0,92,1,4,Matches,Fulham,2024
Ryan Sessegnon,eng ENG,"FW,DF",24-363,6.1,226,212,14,0,0,0,14,13,0,0,0,0,177,0,9,Matches,Fulham,2024
Reiss Nelson,eng ENG,FW,25-157,5.4,268,261,6,0,2,2,23,1,5,3,1,0,232,1,2,Matches,Fulham,2024
Jorge Cuenca,es ESP,DF,25-180,2.9,122,112,10,3,0,0,1,2,0,0,0,0,102,0,0,Matches,Fulham,2024
Tom Cairney,sct SCO,MF,34-116,5.7,555,530,25,11,0,0,19,1,8,3,3,0,503,0,8,Matches,Fulham,2024
Willian,br BRA,"FW,MF",36-280,2.9,208,196,11,2,0,4,16,2,7,3,4,0,178,1,1,Matches,Fulham,2024
Joshua King,eng ENG,MF,18-133,1.0,45,45,0,0,0,0,2,0,0,0,0,0,38,0,2,Matches,Fulham,2024
Harrison Reed,eng ENG,MF,30-109,1.2,55,46,8,5,0,0,6,0,1,0,1,0,39,1,3,Matches,Fulham,2024
Martial Godo,eng ENG,"FW,DF",22-063,0.3,17,15,2,0,0,0,1,2,0,0,0,0,12,0,2,Matches,Fulham,2024
Carlos Vinícius,br BRA,"MF,FW",30-052,0.2,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches,Fulham,2024
Jay Stansfield,eng ENG,MF,22-173,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Fulham,2024
Dara O'Shea,ie IRL,DF,26-073,32.7,1474,1375,94,25,0,13,7,62,0,0,0,0,1146,5,12,Matches,Ipswich Town,2024
Liam Delap,eng ENG,FW,22-097,28.4,353,346,5,0,8,1,5,2,0,0,0,0,216,2,16,Matches,Ipswich Town,2024
Leif Davis,eng ENG,DF,25-124,28.5,1194,905,284,54,3,4,148,153,77,53,13,0,854,5,19,Matches,Ipswich Town,2024
Sam Morsy,eg EGY,MF,33-248,28.6,1332,1279,47,46,2,5,12,0,0,0,0,0,1150,6,22,Matches,Ipswich Town,2024
Omari Hutchinson,eng ENG,"MF,FW",21-198,26.7,807,734,66,1,4,2,70,5,4,4,0,0,628,7,38,Matches,Ipswich Town,2024
Jacob Greaves,eng ENG,DF,24-246,22.5,1004,927,75,28,0,0,1,23,0,0,0,0,861,2,4,Matches,Ipswich Town,2024
Jens Cajuste,se SWE,MF,25-279,20.1,707,646,61,23,1,5,9,38,0,0,0,0,583,0,11,Matches,Ipswich Town,2024
Arijanet Muric,xk KVX,GK,26-190,18.0,633,485,143,49,0,3,0,0,0,0,0,0,454,5,0,Matches,Ipswich Town,2024
Axel Tuanzebe,cd COD,DF,27-183,17.0,697,558,139,24,0,1,7,115,0,0,0,0,581,0,13,Matches,Ipswich Town,2024
Cameron Burgess,au AUS,DF,29-207,17.1,774,710,60,28,1,1,0,0,0,0,0,0,626,4,7,Matches,Ipswich Town,2024
Ben Johnson,eng ENG,"DF,FW",25-112,15.0,416,333,82,11,2,4,37,58,13,11,1,0,298,1,23,Matches,Ipswich Town,2024
Kalvin Phillips,eng ENG,MF,29-165,13.7,551,510,40,27,1,6,20,2,11,8,2,1,436,1,9,Matches,Ipswich Town,2024
Sammie Szmodics,ie IRL,"FW,MF",29-234,10.9,194,184,10,1,0,0,13,0,6,6,0,0,144,0,12,Matches,Ipswich Town,2024
Luke Woolfenden,eng ENG,DF,26-207,13.2,562,547,13,9,0,2,0,1,0,0,0,0,496,2,2,Matches,Ipswich Town,2024
Alex Palmer,eng ENG,GK,28-279,12.0,394,261,133,42,0,0,0,0,0,0,0,0,271,0,1,Matches,Ipswich Town,2024
Wes Burns,wls WAL,"FW,DF",30-174,10.3,253,244,9,1,0,1,46,8,0,0,0,0,153,0,24,Matches,Ipswich Town,2024
Jack Clarke,eng ENG,"FW,MF",24-174,12.1,360,342,17,2,1,3,13,7,6,5,0,0,276,1,18,Matches,Ipswich Town,2024
Julio Enciso,py PAR,"FW,MF",21-113,8.9,232,197,34,8,4,0,19,2,12,10,1,0,161,1,10,Matches,Ipswich Town,2024
Conor Chaplin,eng ENG,"MF,FW",28-089,8.5,274,244,30,3,10,0,9,1,0,0,0,0,200,0,5,Matches,Ipswich Town,2024
Nathan Broadhead,wls WAL,"MF,FW",27-041,6.7,196,186,10,0,3,1,9,2,3,3,0,0,149,0,11,Matches,Ipswich Town,2024
Christian Walton,eng ENG,GK,29-188,6.0,226,159,67,17,0,0,0,0,0,0,0,0,152,0,0,Matches,Ipswich Town,2024
Jaden Philogene Bidace,eng ENG,"FW,DF",23-097,5.3,131,129,1,0,0,1,13,1,0,0,0,0,95,1,5,Matches,Ipswich Town,2024
Jack Taylor,ie IRL,MF,26-327,9.2,394,384,10,2,2,3,6,0,3,3,0,0,328,0,5,Matches,Ipswich Town,2024
Harry Clarke,eng ENG,DF,24-075,4.2,236,211,25,2,1,0,5,23,0,0,0,0,190,0,4,Matches,Ipswich Town,2024
George Hirst,sct SCO,FW,26-090,5.8,107,106,0,0,0,0,3,0,0,0,0,0,60,1,5,Matches,Ipswich Town,2024
Conor Townsend,eng ENG,DF,32-073,3.7,127,98,28,4,1,0,12,20,4,3,1,0,80,1,3,Matches,Ipswich Town,2024
Chiedozie Ogbene,ie IRL,FW,28-015,2.6,43,43,0,0,0,0,4,0,0,0,0,0,32,0,5,Matches,Ipswich Town,2024
Massimo Luongo,au AUS,MF,32-233,2.2,57,55,1,1,0,0,1,0,0,0,0,0,43,1,1,Matches,Ipswich Town,2024
Ben Godfrey,eng ENG,DF,27-121,1.8,57,49,8,1,0,0,0,7,0,0,0,0,47,0,3,Matches,Ipswich Town,2024
Ali Al Hamadi,iq IRQ,FW,23-076,1.5,30,30,0,0,0,0,0,0,0,0,0,0,25,0,1,Matches,Ipswich Town,2024
Marcus Harness,eng ENG,MF,29-081,0.5,16,16,0,0,0,0,0,0,0,0,0,0,10,0,1,Matches,Ipswich Town,2024
George Edmundson,eng ENG,DF,27-258,0.0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1,Matches,Ipswich Town,2024
Jamie Vardy,eng ENG,FW,38-125,30.5,382,329,46,0,1,1,11,0,0,0,0,0,255,7,14,Matches,Leicester City,2024
James Justin,eng ENG,DF,27-082,30.7,1452,1193,256,20,1,2,54,236,0,0,0,0,1135,3,37,Matches,Leicester City,2024
Wout Faes,be BEL,DF,27-043,29.3,1472,1420,49,25,2,7,5,6,0,0,0,0,1292,3,7,Matches,Leicester City,2024
Victor Bernth Kristiansen,dk DEN,DF,22-151,26.6,1302,1048,246,40,1,2,97,189,17,14,2,0,1011,8,24,Matches,Leicester City,2024
Mads Hermansen,dk DEN,GK,24-309,26.5,1073,840,229,86,0,2,0,0,0,0,0,0,654,4,1,Matches,Leicester City,2024
Wilfred Ndidi,ng NGA,MF,28-151,24.9,1005,980,22,13,4,4,30,9,0,0,0,0,805,3,24,Matches,Leicester City,2024
Bilal El Khannouss,ma MAR,MF,21-006,23.2,1013,884,124,24,11,6,87,13,35,19,10,1,757,5,24,Matches,Leicester City,2024
Boubakary Soumaré,fr FRA,MF,26-078,22.1,1151,1137,11,8,3,1,9,3,0,0,0,0,998,3,14,Matches,Leicester City,2024
Harry Winks,eng ENG,MF,29-103,17.1,1045,981,61,35,4,2,34,5,16,11,3,0,910,3,11,Matches,Leicester City,2024
Conor Coady,eng ENG,DF,32-080,17.0,958,911,43,20,2,2,0,1,0,0,0,0,869,4,4,Matches,Leicester City,2024
Jordan Ayew,gh GHA,"FW,MF",33-247,16.5,498,452,46,12,3,2,58,5,26,14,7,3,367,0,11,Matches,Leicester City,2024
Stephy Mavididi,eng ENG,FW,26-350,17.9,613,588,20,2,6,0,69,11,7,4,2,0,460,5,24,Matches,Leicester City,2024
Jannik Vestergaard,dk DEN,DF,32-286,15.5,959,890,68,26,0,2,0,0,0,0,0,0,870,1,4,Matches,Leicester City,2024
Facundo Buonanotte,ar ARG,"FW,MF",20-144,16.7,570,501,65,24,7,4,43,10,26,19,1,0,435,4,9,Matches,Leicester City,2024
Caleb Okoli,it ITA,DF,23-307,12.5,648,597,51,21,1,3,1,4,0,0,0,0,559,0,8,Matches,Leicester City,2024
Luke Thomas,eng ENG,DF,23-340,10.5,560,465,92,15,0,0,26,69,8,4,3,0,442,3,12,Matches,Leicester City,2024
Oliver Skipp,eng ENG,MF,24-242,11.7,481,476,4,3,2,0,5,1,0,0,0,0,408,1,11,Matches,Leicester City,2024
Bobby De Cordova-Reid,jm JAM,FW,32-103,8.3,206,198,8,1,0,0,15,6,0,0,0,0,145,0,15,Matches,Leicester City,2024
Jakub Stolarczyk,pl POL,GK,24-148,8.0,298,227,71,29,0,0,0,0,0,0,0,0,199,0,0,Matches,Leicester City,2024
Kasey McAteer,ie IRL,"FW,MF",23-175,7.6,215,205,7,0,0,0,18,7,0,0,0,0,155,3,10,Matches,Leicester City,2024
Abdul Fatawu Issahaku,gh GHA,FW,21-069,6.4,197,186,11,1,2,2,30,9,1,0,0,0,123,0,18,Matches,Leicester City,2024
Patson Daka,zm ZAM,"FW,MF",26-219,7.3,141,133,8,0,2,0,3,6,0,0,0,0,101,0,11,Matches,Leicester City,2024
Ricardo Pereira,pt POR,DF,31-222,3.8,216,176,39,6,0,0,3,33,0,0,0,0,178,1,2,Matches,Leicester City,2024
Danny Ward,wls WAL,GK,31-328,1.5,53,46,7,0,0,0,0,0,0,0,0,0,41,0,0,Matches,Leicester City,2024
Hamza Choudhury,bd BAN,"MF,DF",27-227,1.5,84,81,3,0,0,0,5,3,0,0,0,0,72,0,1,Matches,Leicester City,2024
Woyo Coulibaly,fr FRA,DF,25-361,1.2,57,44,13,0,0,0,0,13,0,0,0,0,48,0,0,Matches,Leicester City,2024
Jeremy Monga,,"FW,MF",,0.7,19,18,1,1,0,0,2,0,0,0,0,0,11,0,5,Matches,Leicester City,2024
Odsonne Édouard,fr FRA,FW,27-120,0.3,8,8,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,Leicester City,2024
Jake Evans,,FW,,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Leicester City,2024
Will Alves,eng ENG,FW,20-102,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Leicester City,2024
Michael Golding,eng ENG,MF,18-358,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,Leicester City,2024
Virgil van Dijk,nl NED,DF,33-312,36.0,2825,2603,220,82,1,22,1,8,0,0,0,0,2587,2,9,Matches,Liverpool,2024
Mohamed Salah,eg EGY,FW,32-335,35.5,1196,1165,25,7,17,3,74,18,0,0,0,0,848,6,56,Matches,Liverpool,2024
Ryan Gravenberch,nl NED,MF,23-000,33.4,1823,1787,30,14,8,7,6,10,0,0,0,0,1619,6,14,Matches,Liverpool,2024
Alexis Mac Allister,ar ARG,MF,26-143,28.9,1524,1403,116,35,6,3,86,9,71,26,36,0,1273,5,31,Matches,Liverpool,2024
Ibrahima Konaté,fr FRA,DF,25-356,26.8,1784,1737,44,40,1,5,0,4,0,0,0,0,1611,3,9,Matches,Liverpool,2024
Andrew Robertson,sct SCO,DF,31-066,26.6,1807,1512,289,48,4,5,139,184,57,39,11,0,1495,6,34,Matches,Liverpool,2024
Trent Alexander-Arnold,eng ENG,DF,26-221,25.8,1915,1610,295,60,11,31,145,186,49,32,10,1,1411,10,36,Matches,Liverpool,2024
Dominik Szoboszlai,hu HUN,MF,24-203,26.3,1250,1139,110,18,5,12,36,36,14,9,4,0,1056,1,25,Matches,Liverpool,2024
Luis Díaz,co COL,FW,28-123,25.6,842,824,16,2,2,8,31,13,1,0,0,0,711,2,23,Matches,Liverpool,2024
Alisson,br BRA,GK,32-226,25.9,857,746,109,38,1,1,0,0,0,0,0,0,712,2,1,Matches,Liverpool,2024
Cody Gakpo,nl NED,FW,26-009,19.8,592,574,16,4,3,4,69,11,1,0,0,0,449,2,10,Matches,Liverpool,2024
Curtis Jones,eng ENG,"MF,DF",24-106,17.7,1007,949,56,10,2,2,6,27,1,0,0,0,938,2,10,Matches,Liverpool,2024
Diogo Jota,pt POR,FW,28-163,13.0,296,291,3,0,1,2,8,1,0,0,0,0,207,2,13,Matches,Liverpool,2024
Caoimhín Kelleher,ie IRL,GK,26-174,10.0,382,344,38,20,0,0,0,0,0,0,0,0,289,0,1,Matches,Liverpool,2024
Darwin Núñez,uy URU,FW,25-326,11.9,221,216,4,0,1,6,2,2,0,0,0,0,155,1,13,Matches,Liverpool,2024
Kostas Tsimikas,gr GRE,DF,29-004,8.3,605,495,108,10,1,1,61,59,39,31,5,0,507,2,9,Matches,Liverpool,2024
Joe Gomez,eng ENG,DF,27-358,5.8,425,406,18,12,1,5,2,6,0,0,0,0,377,1,2,Matches,Liverpool,2024
Conor Bradley,nir NIR,DF,21-311,7.0,467,397,68,13,0,2,6,55,0,0,0,0,391,2,11,Matches,Liverpool,2024
Jarell Quansah,eng ENG,DF,22-107,4.5,322,300,22,10,0,1,2,12,0,0,0,0,293,0,2,Matches,Liverpool,2024
Harvey Elliott,eng ENG,"MF,FW",22-042,3.1,229,210,16,2,1,3,11,7,5,2,1,0,186,3,4,Matches,Liverpool,2024
Wataru Endo,jp JPN,MF,32-096,2.6,159,156,3,1,0,0,0,2,0,0,0,0,148,0,2,Matches,Liverpool,2024
Federico Chiesa,it ITA,FW,27-203,0.5,26,25,1,0,0,0,2,1,0,0,0,0,22,0,1,Matches,Liverpool,2024
Vitezslav Jaros,cz CZE,GK,23-297,0.1,8,7,1,0,0,0,0,0,0,0,0,0,6,0,0,Matches,Liverpool,2024
Jayden Danns,eng ENG,MF,19-120,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,Liverpool,2024
Joško Gvardiol,hr CRO,DF,23-113,34.4,2625,2429,189,36,6,9,22,146,0,0,0,0,2381,7,28,Matches,Manchester City,2024
Erling Haaland,no NOR,FW,24-299,28.6,353,344,7,0,1,0,3,1,0,0,0,0,234,2,8,Matches,Manchester City,2024
Bernardo Silva,pt POR,"MF,FW",30-279,27.7,1643,1521,121,52,3,5,56,43,13,3,0,0,1433,1,33,Matches,Manchester City,2024
Ederson,br BRA,GK,31-272,23.8,839,745,94,26,1,2,0,0,0,0,0,0,741,0,1,Matches,Manchester City,2024
Mateo Kovačić,hr CRO,MF,31-010,23.7,1797,1763,30,29,15,8,0,0,0,0,0,0,1660,4,14,Matches,Manchester City,2024
Rúben Dias,pt POR,DF,28-002,23.2,2180,2102,75,40,0,8,3,2,0,0,0,0,2038,3,14,Matches,Manchester City,2024
İlkay Gündoğan,de GER,MF,34-204,22.8,1576,1470,101,30,7,3,57,4,43,28,4,1,1408,5,19,Matches,Manchester City,2024
Rico Lewis,eng ENG,"DF,MF",20-176,21.0,1312,1185,127,25,3,0,6,102,0,0,0,0,1201,0,22,Matches,Manchester City,2024
Manuel Akanji,ch SUI,DF,29-301,20.4,1620,1584,35,18,4,9,11,10,0,0,0,0,1519,1,5,Matches,Manchester City,2024
Sávio,br BRA,"FW,MF",21-036,19.4,851,819,32,4,5,6,84,9,18,10,2,0,688,0,33,Matches,Manchester City,2024
Phil Foden,eng ENG,"MF,FW",24-353,19.6,934,847,83,21,7,2,80,5,46,30,8,1,786,4,25,Matches,Manchester City,2024
Kevin De Bruyne,be BEL,"MF,FW",33-322,18.1,1141,982,154,31,14,10,140,17,91,33,18,2,865,5,27,Matches,Manchester City,2024
Matheus Nunes,pt POR,"DF,MF",26-262,16.6,1109,994,114,10,2,8,39,96,7,5,0,0,957,1,22,Matches,Manchester City,2024
Jeremy Doku,be BEL,"FW,MF",22-354,16.0,734,729,3,0,8,0,56,1,2,0,0,0,582,2,29,Matches,Manchester City,2024
Stefan Ortega,de GER,GK,32-191,12.2,459,388,70,21,0,2,0,0,0,0,0,0,373,1,1,Matches,Manchester City,2024
Omar Marmoush,eg EGY,"FW,MF",26-098,11.2,260,234,24,4,2,0,25,1,14,8,3,0,203,2,3,Matches,Manchester City,2024
Kyle Walker,eng ENG,DF,34-353,10.8,826,727,99,18,2,7,14,81,0,0,0,0,724,0,8,Matches,Manchester City,2024
Nathan Aké,nl NED,DF,30-087,7.5,542,514,26,13,0,0,1,7,0,0,0,0,509,2,3,Matches,Manchester City,2024
Nicolás González,es ESP,MF,23-133,7.2,560,540,19,17,1,0,0,2,0,0,0,0,520,1,3,Matches,Manchester City,2024
Jack Grealish,eng ENG,"FW,MF",29-248,8.0,435,417,18,5,0,0,20,4,9,4,0,0,381,0,11,Matches,Manchester City,2024
John Stones,eng ENG,"DF,MF",30-353,6.1,403,389,13,7,0,3,0,0,0,0,0,0,367,1,2,Matches,Manchester City,2024
Nico O’Reilly,eng ENG,DF,20-056,5.9,353,311,41,5,1,0,8,36,0,0,0,0,305,1,3,Matches,Manchester City,2024
Abdukodir Khusanov,uz UZB,DF,21-076,5.6,395,385,10,6,0,1,1,3,0,0,0,0,360,0,3,Matches,Manchester City,2024
James Mcatee,eng ENG,"MF,FW",22-210,3.9,125,122,3,1,1,0,8,0,1,1,0,0,100,0,4,Matches,Manchester City,2024
Jahmai Simpson-Pusey,eng ENG,DF,19-193,1.1,115,110,5,3,0,0,0,1,0,0,0,0,107,0,0,Matches,Manchester City,2024
Rodri,es ESP,MF,28-328,0.7,61,60,1,1,0,0,0,0,0,0,0,0,57,0,0,Matches,Manchester City,2024
Divin Mubama,eng ENG,FW,20-203,0.3,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,Matches,Manchester City,2024
Oscar Bobb,no NOR,FW,21-308,0.2,11,11,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches,Manchester City,2024
Vitor Reis,br BRA,DF,19-124,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,Manchester City,2024
André Onana,cm CMR,GK,29-044,33.0,1259,1032,222,82,1,2,0,0,0,0,0,0,920,5,0,Matches,Manchester United,2024
Bruno Fernandes,pt POR,MF,30-250,31.6,2111,1868,228,95,27,19,181,18,88,43,21,5,1598,15,49,Matches,Manchester United,2024
Noussair Mazraoui,ma MAR,DF,27-183,30.3,1719,1528,190,23,7,5,22,157,0,0,0,0,1475,1,34,Matches,Manchester United,2024
Diogo Dalot,pt POR,DF,26-059,31.0,1659,1414,241,13,4,8,65,228,0,0,0,0,1336,4,36,Matches,Manchester United,2024
Matthijs de Ligt,nl NED,DF,25-277,23.6,1380,1350,27,19,0,9,6,1,0,0,0,0,1241,3,11,Matches,Manchester United,2024
Alejandro Garnacho,ar ARG,"MF,FW",20-319,24.2,820,795,24,3,2,9,56,16,2,1,0,0,646,1,54,Matches,Manchester United,2024
Manuel Ugarte Ribeiro,uy URU,MF,24-035,19.6,898,872,23,7,2,5,7,2,0,0,0,0,789,3,12,Matches,Manchester United,2024
Rasmus Højlund,dk DEN,FW,22-101,20.4,308,283,22,0,2,0,7,0,0,0,0,0,233,3,6,Matches,Manchester United,2024
Lisandro Martínez,ar ARG,DF,27-118,19.5,1342,1285,54,15,5,3,9,16,0,0,0,0,1200,3,7,Matches,Manchester United,2024
Kobbie Mainoo,eng ENG,MF,20-027,17.7,812,784,23,13,2,4,6,6,0,0,0,0,701,5,17,Matches,Manchester United,2024
Amad Diallo,ci CIV,"FW,MF",22-309,19.1,864,778,82,4,3,1,40,47,31,23,1,1,720,4,17,Matches,Manchester United,2024
Harry Maguire,eng ENG,DF,32-072,17.5,996,953,39,24,0,8,3,1,0,0,0,0,856,4,3,Matches,Manchester United,2024
Casemiro,br BRA,MF,33-082,14.8,854,830,17,15,9,8,19,2,0,0,0,0,670,7,21,Matches,Manchester United,2024
